id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
716549,3,6.0,"Week day lunch,At a party,Late night snack",5,Cloudy with a Chance of Meatballs,Coke ,Friends,A little (mild),Pizza
715742,4,2.0,"Week day lunch,At a party,Late night snack",5$ for a large piece,All sort of american young boy movies,Coke,"Friends,Teachers,Strangers",None,Pizza
727333,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10dollar,action movie,cola,Friends,A moderate amount (medium),Pizza
606874,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Mamma Mia,Soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
505318,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Cloudy with a chance of meatballs,Soda,"Siblings,Friends",A little (mild),Pizza
605771,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,None,Soda,"Siblings,Friends",None,Pizza
606929,3,3.0,Week day lunch,1,dragon,coke ,Friends,None,Pizza
609789,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollar,Rick and Morty,coke,Friends,A moderate amount (medium),Pizza
644623,3,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,Home Alone,Coca Cola,None,None,Pizza
626792,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Cloudy with a chance of meatballs,Coke,"Parents,Siblings,Friends",A lot (hot),Pizza
