id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label,Q4
716549,3,6,"Week day lunch,At a party,Late night snack",5,Cloudy with a Chance of Meatballs,Coke ,Friends,A little (mild),Pizza,5.0
715742,4,"bread, meet","Week day lunch,At a party,Late night snack",5$ for a large piece,All sort of american young boy movies,Coke,"Friends,Teachers,Strangers",,Pizza,5.0
727333,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10dollar,action movie,cola,Friends,A moderate amount (medium),Pizza,10.0
606874,4,6-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Mamma Mia,Soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza,3.0
505318,2,3 or more,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Cloudy with a chance of meatballs,Soda,"Siblings,Friends",A little (mild),Pizza,5.0
605771,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,,Soda,"Siblings,Friends",,Pizza,15.0
606929,3,about 3 or 4,Week day lunch,1,dragon,coke ,Friends,,Pizza,1.0
609789,4,4-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollar,Rick and Morty,coke,Friends,A moderate amount (medium),Pizza,20.0
644623,3,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,Home Alone,Coca Cola,,,Pizza,3.0
626792,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Cloudy with a chance of meatballs,Coke,"Parents,Siblings,Friends",A lot (hot),Pizza,4.0
714863,3,10,"Weekend dinner,At a party",20,none,regular coke,Friends,,Pizza,20.0
602805,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 Canadian Dollars,The Big Lebowski,Ice Tea,"Parents,Friends",A little (mild),Pizza,12.0
602526,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Spider Man 2,lemonade,"Parents,Siblings,Friends",,Pizza,6.0
497421,4,"I think at least 4 ingredients, such as flour, tomato, cheese, and oil.","Weekend lunch,Weekend dinner,At a party",At most 30 CAD,Cloudy with a Chance of Meatballs ,Coke,Friends,,Pizza,30.0
389328,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Goodfellas,Red Wine,"Siblings,Friends",A moderate amount (medium),Pizza,10.0
289931,3,"5: Cheese, sauce, dough, meet, vegetables","Weekend lunch,Weekend dinner,At a party,Late night snack","One serving being two slices, I would expect to pay around $7",A Goofy Movie (the disney movie),Pop like Coke ,Friends,A little (mild),Pizza,7.0
620148,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Dead Silence,Sprite,"Friends,Strangers",A moderate amount (medium),Pizza,5.0
387155,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,la la land,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza,12.0
516975,2,"21 (6 for the dough, 15 for the toppings)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$2 - $3

 ",Harry Potter & The Philosopher's Stone,Coke,Friends,,Pizza,2.5
630825,3,6,"Week day dinner,At a party",8 dollar,Transformer,Soup,Parents,,Pizza,8.0
614043,5,10,"Week day dinner,Weekend dinner,At a party,Late night snack",15,Ninja turtles ,Coke,"Siblings,Friends",,Pizza,15.0
521125,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.00 ,High School Musical 3,Root beer,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza,3.0
627780,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,Despicable Me,Coke,"Friends,Teachers",,Pizza,8.0
492744,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Teenage Mutant Ninja Turtles,Soda,"Parents,Friends",A little (mild),Pizza,10.0
618747,2,"Bread flour (or pizza dough), Olive oil, Sugar, Tomato, Chess, Pepperoni","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","If it's in a fast food pizza store, a single slice costs around $6, and a full pizza costs around $15. For a full wood-fired pizza in restaurant, it's around $25.",Toy Story,"Soft drinks. For example, 7up",Friends,,Pizza,15.333333333333334
607815,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30 CAD,The Godfather,Coke,"Friends,Teachers",A little (mild),Pizza,30.0
601609,4,10,"Weekend dinner,At a party",6,Spiderman,Diet Coke,Friends,,Pizza,6.0
602657,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Pizza,cola,"Friends,Teachers",,Pizza,10.0
616449,4,Three,"Week day lunch,Week day dinner,Weekend dinner,At a party",$5 ,Teenage Mutant Ninja Turtles,Sparkling Water,"Parents,Friends",A little (mild),Pizza,5.0
501893,4,"5: Flour, tomatoes, cheese, meat and basil leaves","Weekend lunch,Weekend dinner,At a party",CAD20-25,Fast & Furious,Coke,"Siblings,Friends",,Pizza,22.5
507448,3,"Mushrooms, meat, cheese, potato, pepper","Weekend dinner,At a party,Late night snack",20,Teenage Mutant Ninja Turtles,Coke,Friends,A little (mild),Pizza,20.0
606556,1,3,At a party,8 dollars,The Garfield Movie,Cola,Teachers,A little (mild),Pizza,8.0
724326,3,"10-12 (Flour, water, yeast, salt, olive oil for the dough, tomato sauce, cheese, pepperoni, veggies and herbs)","Week day lunch,Weekend lunch,At a party",Around $3 for one slice ,"""Spider-Man: No Way Home""",Coca-Cola and iced tea,Friends,,Pizza,3.0
616945,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,ratatouille,coca cola,Teachers,A moderate amount (medium),Pizza,15.0
630962,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10,Five Nights At Freddies,Coca Cola,"Friends,Teachers",,Pizza,10.0
715814,2,"6 ingredients (tomato sauce, dough, cheese, sausage, mushroom, pepper). Besides these ordinary ones, other ingredients like olives, pineapples, and onions, etc. are also interesting, but overall, the above 6 are the most important (7 as sometimes pineapple is preferred).","Week day lunch,Week day dinner,At a party","About 10 -13 CAD. Usually, it would be a good fit if the price is from 10.99 - 11.99 canadian dollars for a medium size one (that usually I can have for 2-3 meals).","Not exactly movies, but I would prefer to watch some TV series when I am having pizzas. If movies specifically, I may think of cartoon movies or more ""hero""/marvel related ones, like Teenage Mutant Ninja Turtles, movies in marvel series, etc..","All sorts of carbonated drinks(e.g. coca-cola, pepsi, mirinda series drinks, fanta series drinks etc.). Non carbonated drinks are not preferred when I am having pizzas.","Parents,Friends,Teachers",A little (mild),Pizza,8.496666666666668
502799,2,8,"Weekend dinner,At a party",$10 ,Back to the future,Ice tea,"Parents,Siblings,Friends",,Pizza,10.0
605278,2,"minimum 4 (cheese, tomato sauce, flour, water)","Weekend dinner,At a party,Late night snack",$4 ,Godfather,Coke,"Friends,Teachers,Strangers",A little (mild),Pizza,4.0
388888,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Mystic Pizza,Coke,Friends,A little (mild),Pizza,5.0
519548,3,~5-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Spider man 2,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza,6.0
405521,4,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,futurama,coke,Friends,A moderate amount (medium),Pizza,4.0
607410,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",About $13.,Iron Man I,Orange Fanta,"Siblings,Teachers",,Pizza,13.0
715795,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$13 ,Life of Pi,Hot chocolate,"Parents,Friends,Teachers",,Pizza,13.0
625326,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3 ,Avengers,Soda,"Siblings,Friends,Teachers",A little (mild),Pizza,3.0
627220,3,3 to 7,"Week day lunch,Weekend dinner,At a party,Late night snack",6 to 7 dollars,Despicable Me,Mountain Dew,Friends,A little (mild),Pizza,6.5
634964,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Spider-man,Beer,"Parents,Friends",,Pizza,20.0
722500,3,10,"Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Home Alone,coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza,15.0
602824,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15 dollars,Any American movie,Soda,"Parents,Siblings,Friends",,Pizza,15.0
618355,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,king kong,coke,"Friends,Teachers,Strangers",,Pizza,15.0
611097,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Home Alone,coke,"Siblings,Friends",A little (mild),Pizza,10.0
634328,2,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Teenage Mutant Ninja Turtles ,Soda,"Parents,Siblings,Friends",,Pizza,5.0
607160,2,10,At a party,"$15 for a whole pizza

$3 for a slice",cloudy with a chance of meatballs,diet coke,Teachers,A little (mild),Pizza,9.0
728522,3,6,"Week day dinner,Weekend dinner,At a party,Late night snack",12,Marvel Movies,Diet Pepsi,"Siblings,Friends,Teachers",A lot (hot),Pizza,12.0
718570,3,5,"Week day lunch,Week day dinner,At a party",15,,coke,"Friends,Strangers",,Pizza,15.0
714598,4,5,"Week day dinner,At a party,Late night snack",4.5 cad,The Garfield Movie,Coca-cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza,4.5
601950,3,4,"Week day lunch,At a party,Late night snack",3 per slide,Garfield,Coke,Friends,,Pizza,3.0
612478,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Grown ups,Diet coke,"Parents,Siblings,Friends",A moderate amount (medium),Pizza,7.0
501416,4,Around 6-9 excluding condiments.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around $7~15 before tax.,N/A (I don't watch a lot of movies),Carbonated soft drink,"Teachers,Strangers",A little (mild),Pizza,11.0
629710,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15 ,deadpool,coke,"Parents,Siblings,Friends",A little (mild),Pizza,15.0
502610,2,"There are 3 major ingredients the sauce the dough.crust and the cheese. then the addons ingredients can enhance it.

So 4 in total","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 30-40 $,Cloudy with a chance of meatball,Coca cola zero,"Parents,Siblings,Friends",,Pizza,35.0
603476,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,whiplash,coke,"Parents,Siblings,Friends",,Pizza,15.0
600957,2,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Home alone,Water,Siblings,,Pizza,6.0
713423,5,"Maybe about 15 ingredients: starch, egg, sugar, milk, yeast, cheese, salami, corn kernels, peas, mushroom, olive, green pepper, shrimp, tomato, and maybe pineapple (I know, some Italians will want to kill me).","Week day dinner,Weekend dinner,At a party",CA$15,Inside Out,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza,15.0
722431,2,"Around 4 to 6 key ingredients (counting only categories, not individual types of each category like different spices or toppings). ","Week day lunch,Week day dinner,Weekend lunch,At a party","Maybe 20$, for 14'' or 16''.",Teenage Mutant Ninja Turtles.,"Orange juice, my favourite.",Friends,,Pizza,16.666666666666668
633234,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Avengers,Coke,"Siblings,Friends,Teachers",,Pizza,5.0
148179,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,,Cola,Friends,A little (mild),Pizza,7.0
715845,2,9,"Weekend dinner,At a party,Late night snack",$20 ,Cloudy with a Chance of Meatballs,Coke,Friends,,Pizza,20.0
632153,3,"Around 10 or so, depending on the flavour","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",At most $6,Ratatouille,Sparkling water,Friends,,Pizza,6.0
606552,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","For one slice? Like 5 dollars.

For a whole pizza? 15 dollars",Superbad,Coca Cola,"Parents,Siblings,Friends",A little (mild),Pizza,10.0
738409,3,4,At a party,3,stranger things,pepsi,"Teachers,Strangers",,Pizza,3.0
612096,4,6,"Weekend dinner,At a party",4.99,Ratatouille,Sprite,"Parents,Friends,Teachers",A lot (hot),Pizza,4.99
743537,3,5,"Week day lunch,Week day dinner,At a party,Late night snack",15 dollars,Pizza (2012),Coke,"Friends,Strangers",,Pizza,15.0
632896,3,"I expect this food item to contain 10 ingredients.

 ","Weekend lunch,At a party,Late night snack",I would expect to pay 7 dollars for 1 serving. ,Home Alone,Coke,"Siblings,Friends,Strangers",A little (mild),Pizza,4.0
605207,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$12 ,Teenage Mutant Ninja Turtles,Coke,Friends,,Pizza,12.0
617542,4,"Varies depending on personal choice. Basic/Main ingredients can be around 3. Additional ingredients can be added, usually around 2-5. ","Week day dinner,Weekend dinner,At a party,Late night snack",Depends on the portion served. A full size can be around $15-30 while a piece can be $3-6.,Ninja Turtles,Coke,Friends,A little (mild),Pizza,13.5
719554,3,3,"Week day lunch,Late night snack",$5 ,,Juice,"Friends,Strangers",,Pizza,5.0
627427,4,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",$5.00 ,Air Bud,Soda,"Friends,Strangers",A little (mild),Pizza,5.0
411315,4,7,"Week day lunch,At a party,Late night snack",6,Deadpool,coke,"Friends,Strangers",A little (mild),Pizza,6.0
631507,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,A quiet place: day one (2024),Soda,Friends,I will have some of this food item with my hot sauce,Pizza,5.0
627798,3,8,"Week day lunch,Weekend lunch,At a party,Late night snack",$6 ,Finding Nemo,Coca Cola,Friends,A little (mild),Pizza,6.0
712093,4,10,"Week day lunch,Weekend lunch,At a party,Late night snack",15$,Avengers Endgame,Coca Cola,"Teachers,Strangers",A little (mild),Pizza,15.0
627488,1,"yeast water flour egg salt (dough), cheese peporonni sausage other vegetables 

total: 10","Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$5 ,Ratatouille,Soda,"Friends,Teachers",A little (mild),Pizza,5.0
626493,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,My Cousin Vinny,San Pellegrino Sparkling Water,"Parents,Siblings,Friends,Teachers",,Pizza,6.0
601363,2,"6-8 a simple pizza, can have many more ","Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$12-$18,Garfield,A Ginger Ale,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza,15.0
712898,4,8,"Weekend dinner,At a party,Late night snack",5,Garfield,Diet Coke,Parents,,Pizza,5.0
603398,3,10,"Weekend dinner,At a party,Late night snack",20 - 25 CAD,"Eat, Pray, Love",Coca-Cola,Friends,A moderate amount (medium),Pizza,22.5
631012,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Ratatouille,Coke,"Parents,Siblings,Friends",,Pizza,5.0
601848,3,6,"Week day lunch,Weekend dinner,At a party,Late night snack",$7 ,Ratatouille,Coke with lemon,"Parents,Siblings,Friends,Teachers",,Pizza,7.0
612131,2,5,"Week day dinner,Weekend dinner,At a party,Late night snack",$2 ,Home Alone,Coca-cola,"Parents,Siblings,Teachers",A little (mild),Pizza,2.0
408630,3,5,"Week day lunch,Weekend lunch,At a party,Late night snack",5 dollars,Five Nights at Freddy's,soda,"Siblings,Friends,Teachers",A little (mild),Pizza,5.0
632091,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15$ per pizza,No movie,A can of soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza,15.0
601122,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Home Alone,Coke,"Parents,Siblings,Friends,Strangers",,Pizza,15.0
602871,2,5,"Week day lunch,At a party",10 cad,Spider-Man 2,Coke,Friends,A little (mild),Pizza,10.0
520828,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Teenage Mutant Ninja Turtles,Diet Coke,"Siblings,Friends",A moderate amount (medium),Pizza,5.0
514199,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,,Nestea,Friends,,Pizza,4.0
389697,4,6,"Week day dinner,Weekend dinner,At a party,Late night snack",10,Comedy,Coke,"Friends,Teachers",A little (mild),Pizza,10.0
714430,3,10,"Week day lunch,Weekend lunch",10 dollars,iron man,orange juice,Friends,A little (mild),Pizza,10.0
612567,4,6,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$20 ,Star Wars,Coca cola,"Siblings,Friends",A moderate amount (medium),Pizza,20.0
744468,3,3,"Week day lunch,At a party",$3 ,Spider-Man,Coke,Friends,,Pizza,3.0
502722,3,Around 6 ingredients in a basic cheese pizza recipe,"Weekend lunch,At a party",Around $2-4 for a slice of pizza is reasonable.,Any teenage mutant ninja turtle movie,Soft cola or lemon drink,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza,3.0
519681,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Dark Knight,Diet Coke,Friends,,Pizza,5.0
631125,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,Home Alone 2: Lost in New York,Coke,"Parents,Siblings",,Pizza,6.0
606119,2,"Flour, yeast, tomato sauce, cheese, pepperoni, (6-7?)","Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Pulp fiction,Coke,Friends,,Pizza,5.0
627252,3,8,"Week day dinner,Weekend dinner,At a party",$6 ,Ninja Turtles,Water,"Siblings,Friends",,Pizza,6.0
616568,3,at least 3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20 dollars,fast and furious,soda,"Parents,Siblings,Friends",A little (mild),Pizza,20.0
603838,2,5,"Weekend lunch,Weekend dinner",10,Teenage Mutant Ninja Turtles,Soda,Friends,A moderate amount (medium),Pizza,10.0
719735,4,"1. Dough

2. Sauce

3. Cheese

4. Your choice of protein

5. Vegetables (optional)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Spiderman 2,Coke,Friends,A little (mild),Pizza,5.0
608062,2,10,"Weekend dinner,At a party",$2.50 ,Spider man  ,Coca cola ,"Friends,Teachers",,Pizza,2.5
608704,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Home Alone,Coke,"Parents,Siblings,Friends,Teachers",,Pizza,20.0
